Ax             Ay             Az             Gx             Gy            AnX            AnY            AnZ
1.39869      -0.220342        -10.174      -0.010919      -0.010919     -0.0359939      0.0175327              0
1.43701      -0.210762       -10.2028     0.00532632      -0.010919     -0.0359939      0.0175327              0
1.49449      -0.249082       -10.1645      -0.010919    -0.00532632     -0.0361856      0.0177243              0
1.40827      -0.220342        -10.174    -0.00532632      -0.010919     -0.0361856      0.0175327              0
1.45617      -0.210762       -10.2028     0.00532632     0.00532632     -0.0359939       0.017916              0
1.42743      -0.229922       -10.1453     0.00532632              0     -0.0359939      0.0177243              0
1.43701      -0.229922       -10.2028      -0.010919              0     -0.0359939      0.0177243              0
1.45617      -0.220342       -10.1836    -0.00532632              0     -0.0361856      0.0177243              0
1.44659      -0.239502       -10.1645       0.010919              0     -0.0359939      0.0177243              0
1.42743      -0.229922       -10.1836    -0.00532632     0.00532632     -0.0361856      0.0177243              0
1.42743      -0.239502        -10.174    -0.00532632     0.00532632     -0.0363777      0.0177243              0
1.40827      -0.229922       -10.1836      -0.010919      -0.010919     -0.0363777       0.017341              0
1.43701      -0.210762       -10.1836     -0.0221042    -0.00532632     -0.0365694       0.017341              0
1.43701      -0.191602       -10.2028              0    -0.00532632     -0.0365694      0.0171493              0
1.44659      -0.201182        -10.174     -0.0165116    -0.00532632     -0.0365694       0.017341              0
1.47533      -0.229922       -10.1549      -0.010919      0.0165116     -0.0365694      0.0177243              0
1.45617      -0.210762       -10.1645              0              0     -0.0365694      0.0177243              0
1.41785      -0.210762       -10.1645      0.0165116              0     -0.0365694      0.0177243              0
1.44659      -0.220342       -10.1932     0.00532632              0     -0.0363777      0.0177243              0
1.41785      -0.201182       -10.1932       0.010919              0     -0.0363777      0.0177243              0
1.44659      -0.258662       -10.1836     -0.0276969              0     -0.0365694      0.0177243              0
1.40827      -0.201182       -10.2124      -0.010919              0     -0.0363777      0.0175327              0
1.43701      -0.220342       -10.1645    -0.00532632     0.00532632     -0.0363777      0.0175327              0
1.43701      -0.191602       -10.1932    -0.00532632    -0.00532632     -0.0361856      0.0175327              0
1.45617      -0.182021       -10.1453              0              0     -0.0361856      0.0175327              0
1.45617      -0.210762       -10.1645    -0.00532632       0.010919     -0.0361856      0.0177243              0
1.43701      -0.182021       -10.2028    -0.00532632    -0.00532632     -0.0361856      0.0175327              0
1.43701      -0.258662       -10.1836    -0.00532632     0.00532632     -0.0363777      0.0177243              0
1.42743      -0.220342       -10.1932    -0.00532632     -0.0165116     -0.0361856      0.0175327              0
1.44659      -0.220342       -10.1932    -0.00532632      0.0165116     -0.0361856      0.0177243              0
1.44659      -0.239502       -10.1932     0.00532632    -0.00532632     -0.0361856      0.0177243              0
1.41785      -0.201182       -10.1932      -0.010919              0     -0.0361856      0.0177243              0
1.46575      -0.220342       -10.1836     0.00532632              0     -0.0359939       0.017916              0
1.41785      -0.210762       -10.1645              0     0.00532632     -0.0361856       0.017916              0
1.42743      -0.220342       -10.1549     0.00532632    -0.00532632     -0.0359939       0.017916              0
1.45617      -0.239502       -10.1645              0    -0.00532632     -0.0361856       0.017916              0
1.44659      -0.229922       -10.2028              0    -0.00532632     -0.0361856       0.017916              0
1.42743      -0.210762       -10.2124      -0.010919              0     -0.0361856       0.017916              0
1.46575      -0.210762        -10.174    -0.00532632      -0.010919     -0.0359939      0.0181077              0
1.43701      -0.268242       -10.1932    -0.00532632    -0.00532632     -0.0363777       0.017916              0
1.46575      -0.239502        -10.174              0     0.00532632     -0.0363777      0.0181077              0
1.41785      -0.229922       -10.1645      -0.010919      -0.010919     -0.0361856      0.0181077              0
1.39869      -0.258662       -10.1932              0     0.00532632     -0.0361856       0.017916              0
1.46575      -0.229922       -10.1932     -0.0221042              0     -0.0363777      0.0177243              0
1.45617      -0.191602       -10.1645     -0.0165116     -0.0165116     -0.0361856       0.017916              0
1.46575      -0.210762       -10.1549      -0.010919     0.00532632     -0.0361856       0.017916              0
1.43701      -0.210762       -10.1453              0    -0.00532632     -0.0365694       0.017916              0
1.48491      -0.249082       -10.2028              0      -0.010919     -0.0365694       0.017916              0
1.43701      -0.229922        -10.174     0.00532632              0     -0.0363777       0.017916              0
1.46575      -0.239502       -10.2124      -0.010919              0     -0.0361856       0.017916              0
1.43701      -0.249082        -10.174      -0.010919    -0.00532632     -0.0359939      0.0177243              0
1.46575      -0.210762       -10.1549    -0.00532632       0.010919     -0.0358022      0.0177243              0
1.41785      -0.191602        -10.174    -0.00532632      -0.010919     -0.0356105      0.0175327              0
1.41785      -0.191602        -10.174     -0.0165116    -0.00532632     -0.0356105      0.0171493              0
1.44659      -0.201182        -10.174     0.00532632     0.00532632     -0.0356105      0.0169571              0
1.49449      -0.220342       -10.1932      -0.010919    -0.00532632     -0.0358022       0.017341              0
1.40827      -0.172441       -10.1549      -0.010919              0     -0.0358022       0.017341              0
1.47533      -0.220342       -10.1645    -0.00532632      -0.010919     -0.0358022      0.0171493              0
1.43701      -0.220342       -10.1836              0     0.00532632     -0.0359939      0.0171493              0
1.46575      -0.210762       -10.1932     0.00532632     0.00532632     -0.0359939      0.0171493              0
1.44659      -0.210762       -10.2028      -0.010919     -0.0165116     -0.0361856      0.0167654              0
1.44659      -0.239502       -10.1932      -0.010919      -0.010919     -0.0361856      0.0169571              0
1.43701      -0.229922       -10.1932              0              0     -0.0363777      0.0167654              0
1.42743      -0.258662       -10.1549     0.00532632      -0.010919     -0.0365694      0.0165737              0
1.44659      -0.249082       -10.1549    -0.00532632      -0.010919     -0.0367611      0.0165737              0
